国名,総人口,首都,距離,通貨,国名_結合用
インド,"1,407,564,000",デリー,"5,852",インドルピー,インド
アイスランド,"370,000",レイキャビク,"8,818",アイスランドクローナ,アイスランド
アメリカ,"336,998,000",ワシントンD.C.,"10,923",米ドル,米国
アイルランド,"4,987,000",ダブリン,"9,608",ユーロ,アイルランド
アゼルバイジャン,"10,313,000",バクー,"7,543",アゼルバイジャンマナット,アゼルバイジャン
インドネシア,"273,753,000",ジャカルタ,"5,775",ルピア,インドネシア
アフガニスタン,"40,099,000",カブール,"6,281",アフガニ,アフガニスタン
パキスタン,"231,402,000",イスラマバード,"5,991",パキスタンルピー,パキスタン
ブラジル,"214,326,000",ブラジリア,"17,674",ブラジルレアル,ブラジル
フィリピン,"113,880,000",マニラ,"2,995",フィリピンペソ,フィリピン
ナイジェリア,"213,401,000",アブジャ,"12,981",ナイラ,ナイジェリア
アラブ首長国連邦,"9,365,000",アブダビ,"8,071",アラブ首長国連邦ディルハム,アラブ首長国連邦
バングラデシュ,"169,356,000",ダッカ,"4,895",タカ,バングラデシュ
アルジェリア,"44,178,000",アルジェ,"10,823",アルジェリアディナール,アルジェリア
パラオ,"18,000",マルキョク,"3,167",米ドル,パラオ
アルゼンチン,"45,277,000",ブエノスアイレス,"18,374",アルゼンチンペソ,アルゼンチン
アルバニア,"2,855,000",ティラナ,"9,511",レク,アルバニア
ベトナム,"97,468,000",ハノイ,"3,674",ドン,ベトナム
アルメニア,"2,791,000",エレバン,"7,951",アルメニアドラム,アルメニア
アンゴラ,"34,504,000",ルアンダ,"13,851",クワンザ,アンゴラ
エチオピア,"120,283,000",アディスアベバ,"10,412",エチオピアブル,エチオピア
アンドラ,"79,000",アンドララベラ,"10,362",ユーロ,アンドラ
イエメン,"32,982,000",サヌア,"9,516",イエメンリアル,イエメン
カンボジア,"16,589,000",プノンペン,"4,405",リエル,カンボジア
イギリス,"67,281,000",ロンドン,"9,582",英ポンド,英国
エジプト,"109,262,000",カイロ,"9,585",エジプトポンド,エジプト
イスラエル,"8,900,000",エルサレム,"9,169",新イスラエルシェケル,イスラエル
イタリア,"59,240,000",ローマ,"9,877",ユーロ,イタリア
イラク,"43,534,000",バグダッド,"8,369",イラクディナール,イラク
タイ,"71,601,000",バンコク,"4,608",バーツ,タイ
イラン,"87,923,000",テヘラン,"7,681",イランリアル,イラン
ブータン,"777,000",ティンプー,"4,789",ニュルタム,ブータン
トルコ,"84,775,000",アンカラ,"8,784",トルコリラ,トルコ
ドイツ,"83,409,000",ベルリン,"8,938",ユーロ,ドイツ
ウガンダ,"45,854,000",カンパラ,"11,533",ウガンダシリング,ウガンダ
ナウル,"13,000",ヤレン,"4,905",オーストラリアドル,ナウル
ウクライナ,"43,531,000",キエフ,"8,220",フリヴニャ,ウクライナ
パプアニューギニア,"9,949,000",ポートモレスビー,"5,058",キナ,パプアニューギニア
ウズベキスタン,"34,081,000",タシケント,"6,010",ウズベキスタンスム,ウズベキスタン
ウルグアイ,"3,426,000",モンテビデオ,"18,579",ペソウルグアイ,ウルグアイ
フランス,"64,531,000",パリ,"9,735",ユーロ,フランス
エクアドル,"17,798,000",キト,"14,443",米ドル,エクアドル
エストニア,"1,329,000",タリン,"7,897",ユーロ,エストニア
ネパール,"30,035,000",カトマンズ,"5,167",ネパールルピー,ネパール
エリトリア,"3,620,000",アスマラ,"9,975",ナクファ,エリトリア
シンガポール,"5,941,000",シンガポール,"5,308",シンガポールドル,シンガポール
エルサルバドル,"6,314,000",サンサルバドル,"12,507",エルサルバドルコロン,エルサルバドル
オマーン,"4,520,000",マスカット,"7,772",Rial Omani,オマーン
オランダ,"17,502,000",アムステルダム,"9,311",ユーロ,オランダ
ソロモン諸島,"708,000",ホニアラ,"5,431",ソロモン諸島ドル,ソロモン諸島
オーストラリア,"25,921,000",キャンベラ,"7,922",オーストラリアドル,豪州
ケニア,"53,006,000",ナイロビ,"11,262",ケニアシリング,ケニア
オーストリア,"8,922,000",ウィーン,"9,150",ユーロ,オーストリア
カザフスタン,"19,196,000",アスタナ,"5,569",テンゲ,カザフスタン
コロンビア,"51,517,000",ボゴタ,"14,318",コロンビアペソ,コロンビア
スペイン,"47,487,000",マドリード,"10,786",ユーロ,スペイン
カタール,"2,688,000",ドーハ,"8,266",カタールリアル,カタール
カナダ,"38,155,000",オタワ,"10,342",カナダドル,カナダ
スーダン,"45,657,000",ハルツーム,"10,501",スーダンポンド,スーダン
カメルーン,"27,199,000",ヤウンデ,"13,081",CFAフランBEAC,カメルーン
カーボベルデ,"588,000",,,カーボベルデ・エスクード,カーボベルデ
タジキスタン,"9,750,000",ドゥシャンベ,"6,149",ソモニ,タジキスタン
ガイアナ,"805,000",ジョージタウン,"14,943",ガイアナドル,ガイアナ
ガンビア,"2,640,000",バンジュール,"14,023",ダラシ,ガンビア
ガーナ,"32,833,000",アクラ,"13,818",ガーナセディ,ガーナ
ツバル,"11,000",フナフティ,"6,409",オーストラリアドル,ツバル
キプロス,"1,244,000",ニコシア,"9,071",ユーロ,キプロス
キューバ,"11,256,000",ハバナ,"12,136",ペソコンバーチブル,キューバ
スリランカ,"21,773,000",スリジャヤワルダナプラコッテ,"6,854",スリランカルピー,スリランカ
ポーランド,"38,308,000",ワルシャワ,"8,600",ズロチ,ポーランド
トルクメニスタン,"6,342,000",アシガバット,"7,016",トルクメニスタン新マナット,トルクメニスタン
ギニア,"13,532,000",コナクリ,"14,262",ギニアフラン,ギニア
ギニアビサウ,"2,061,000",ビサウ,"14,138",CFAフランBCEAO,ギニアビサウ
フィジー,"925,000",スバ,"7,222",フィジードル,フィジー
ギリシャ,"10,445,000",アテネ,"9,527",ユーロ,ギリシャ
サモア,"219,000",アピア,"7,493",タラ,サモア
クウェート,"4,250,000",クウェート,"8,318",クウェートディナール,クウェート
サウジアラビア,"35,950,000",リヤド,"8,710",サウジリヤル,サウジアラビア
クック諸島,"17,000",アバルア,"8,958",CFAフランBCEAO,クック諸島
クロアチア,"4,060,000",ザグレブ,"9,365",クナ,クロアチア
グアテマラ,"17,608,000",グアテマラシティ,"12,337",ケツァル,グアテマラ
ペルー,"33,715,000",リマ,"15,495",ヌエボソル,ペルー
フィンランド,"5,536,000",ヘルシンキ,"7,838",ユーロ,フィンランド
グレナダ,"125,000",セントジョージズ,"14,259",東カリブドル,グレナダ
ジョージア,"3,758,000",トビリシ,"7,839",ラリ,ジョージア
コスタリカ,"5,154,000",サンホセ,"13,187",コスタリカコロン,コスタリカ
トンガ,"106,000",ヌクアロファ,"7,883",パアンガ,トンガ
コモロ,"822,000",モロニ,"11,346",コモロフラン,コモロ
ニウエ,"2,000",アロフィ,"8,055",ニュージーランドドル,ニウエ
サンマリノ,"34,000",サンマリノ,"9,707",ユーロ,サンマリノ
ザンビア,"19,473,000",ルサカ,"12,917",ザンビアクワチャ,ザンビア
ベラルーシ,"9,578,000",ミンスク,"8,146",ベラルーシルーブル,ベラルーシ
シエラレオネ,"8,421,000",フリータウン,"14,359",レオーネ,シエラレオネ
スウェーデン,"10,467,000",ストックホルム,"8,190",スウェーデンクローナ,スウェーデン
ブルキナファソ,"22,101,000",ワガドゥグー,"13,312",CFAフランBCEAO,ブルキナファソ
ジブチ,"1,106,000",ジブチ,"9,855",ジブチフラン,ジブチ
ジャマイカ,"2,828,000",キングストン,"12,927",ジャマイカドル,ジャマイカ
ジンバブエ,"15,994,000",ハラレ,"12,816",ジンバブエドル,ジンバブエ
バーレーン,"1,463,000",マナーマ,"8,289",バーレーンディナール,バーレーン
スイス,"8,691,000",ベルン,"9,689",WIRユーロ,スイス
チリ,"19,493,000",サンティアゴ,"17,236",チリ ウニダ・デ・フォメント,チリ
スリナム,"613,000",パラマリボ,"15,148",スリナムドル,スリナム
ノルウェー,"5,403,000",オスロ,"8,426",ノルウェークローネ,ノルウェー
スロバキア,"5,448,000",ブラチスラバ,"9,118",ユーロ,スロバキア
スロベニア,"2,119,000",リュブリャナ,"9,422",ユーロ,スロベニア
デンマーク,"5,854,000",コペンハーゲン,"8,711",デンマーククローネ,デンマーク
セネガル,"16,877,000",ダカール,"13,932",CFAフランBCEAO,セネガル
チャド,"17,180,000",ウンジャメナ,"12,159",CFAフランBEAC,チャド
セルビア,"7,297,000",ベオグラード,"9,203",セルビアディナール,セルビア
ソマリア,"17,066,000",モガディシオ,"10,280",ソマリアシリング,ソマリア
セントルシア,"180,000",カストリーズ,"14,088",東カリブドル,セントルシア
ハンガリー,"9,710,000",ブダペスト,"9,068",フォリント,ハンガリー
ブルンジ,"12,551,000",ブシュンブラ,"12,066",ブルンジフラン,ブルンジ
チュニジア,"12,263,000",チュニス,"10,440",チュニジアディナール,チュニジア
ベルギー,"11,611,000",ブリュッセル,"9,471",ユーロ,ベルギー
ハイチ,"11,448,000",ポルトープランス,"13,116",グールド,ハイチ
ブルガリア,"6,886,000",ソフィア,"9,196",ブルガリアレフ,ブルガリア
トーゴ,"8,645,000",ロメ,"13,670",CFAフランBCEAO,トーゴ
ドミニカ共和国,"11,118,000",サントドミンゴ,"13,245",ドミニカペソ,ドミニカ共和国
ニュージーランド,"5,130,000",ウェリントン,"9,246",ニュージーランドドル,ニュージーランド
ボスニア・ヘルツェゴビナ,"3,271,000",サラエボ,"9,391",コンバーチブルマーク,ボスニア・ヘルツェゴビナ
ポルトガル,"10,290,000",リスボン,"11,166",ユーロ,ポルトガル
ナミビア,"2,530,000",ウィントフック,"14,341",ナミビアドル,ナミビア
ニカラグア,"6,851,000",マナグア,"12,851",コルドバオロ,ニカラグア
バハマ,"408,000",ナッソー,"12,236",バハマドル,バハマ
バルバドス,"281,000",ブリッジタウン,"14,234",バルバドスドル,バルバドス
パラグアイ,"6,704,000",アスンシオン,"18,000",グアラニ,パラグアイ
パナマ,"4,351,000",パナマシティ,"13,581",バルボア,パナマ
ベリーズ,"400,000",ベルモパン,"12,241",ベリーズドル,ベリーズ
ボツワナ,"2,588,000",ハボローネ,"13,650",プーラ,ボツワナ
プエルトリコ,"3,256,000",,,米ドル,プエルトリコ
マカオ,"687,000",,"2,844",パタカ,マカオ
マダガスカル,"28,916,000",アンタナナリボ,"11,408",マダガスカルのアリアリー,マダガスカル
マリ,"21,905,000",バマコ,"13,675",CFAフランBCEAO,マリ
マルタ,"527,000",バレッタ,"10,266",ユーロ,マルタ
マレーシア,"33,574,000",クアラルンプール,"5,320",マレーシアリンギット,マレーシア
マーシャル諸島,"42,000",マジュロ,"4,505",米ドル,マーシャル諸島
ミャンマー,"53,798,000",ネーピードー,"4,607",チャット,ミャンマー
メキシコ,"126,705,000",メキシコシティ,"11,320",メキシコペソ,メキシコ
モザンビーク,"32,077,000",マプト,"13,129",モザンビークメタリック,モザンビーク
モナコ,"37,000",モナコ,"9,976",ユーロ,モナコ
モルディブ,"521,000",マレ,"7,602",ルフィア,モルディブ
モロッコ,"37,077,000",ラバト,"11,548",モロッコディルハム,モロッコ
モンゴル,"3,348,000",ウランバートル,"3,014",トゥグルグ,モンゴル
モンテネグロ,"628,000",ポドゴリツァ,"9,456",ユーロ,モンテネグロ
モーリシャス,"1,299,000",ポートルイス,"10,627",モーリシャスルピー,モーリシャス
モーリタニア,"4,615,000",ヌアクショット,"13,527",ウグイヤ,モーリタニア
ヨルダン,"11,148,000",アンマン,"9,103",ヨルダンディナール,ヨルダン
ラトビア,"1,874,000",リガ,"8,102",ユーロ,ラトビア
リトアニア,"2,787,000",ビリニュス,"8,207",ユーロ,リトアニア
リビア,"6,735,000",トリポリ,"10,597",リビアディナール,リビア
リベリア,"5,193,000",モンロビア,"14,433",リベリアドル,リベリア
ルクセンブルク,"639,000",ルクセンブルク,"9,510",ユーロ,ルクセンブルク
ルワンダ,"13,462,000",キガリ,"11,908",ルワンダフラン,ルワンダ
ルーマニア,"19,329,000",ブカレスト,"8,901",ルーマニアレイ,ルーマニア
レソト,"2,281,000",マセル,"13,744",ロティ,レソト
レバノン,"5,593,000",ベイルート,"9,004",レバノンポンド,レバノン
ロシア,"145,103,000",モスクワ,"7,497",ロシアルーブル,ロシア
中央アフリカ共和国,"5,457,000",,,CFAフランBEAC,中央アフリカ共和国
北朝鮮,"25,972,000",ピョンヤン,"1,290",北朝鮮ウォン,北朝鮮
南アフリカ,"59,392,000",プレトリア,"13,502",ランド,南アフリカ
南スーダン,"10,748,000",ジュバ,"11,319",南スーダンポンド,南スーダン
韓国,"51,830,000",ソウル,"1,157",ウォン,韓国
日本,"124,613,000",東京,0,円,日本
東ティモール,"1,321,000",ディリ,"5,120",アメリカドル,東ティモール
赤道ギニア,"1,634,000",マラボ,"13,307",CFAフランBEAC,赤道ギニア
香港,"7,495,000",,"2,786",香港ドル,香港
ミクロネシア,"113,000",パリキール,"3,702",,ミクロネシア
ラオス,"7,425,000",ビエンチャン,"4,143",,ラオス
ブルネイ,"445,000",バンダルスリブガワン,"4,254",,ブルネイ
コンゴ民主共和国,"95,894,000",キンシャサ,"13,377",,コンゴ民主共和国
キリバス,"129,000",タラワ,"5,115",,キリバス
タンザニア,"63,588,000",ドドマ,"11,673",,タンザニア
キルギス,"6,528,000",ビシュケク,"5,537",,キルギス
バヌアツ,"319,000",ポートビラ,"6,639",,バヌアツ
ベネズエラ,"28,200,000",カラカス,"14,182",,ベネズエラ
コートジボワール,"27,478,000",ヤムスクロ,"14,051",,コートジボワール
ニジェール,"25,253,000",ニアメ,"12,974",,ニジェール
シリア,"21,324,000",ダマスカス,"8,972",,シリア
マラウイ,"19,890,000",リロングウェ,"12,339",,マラウイ
モルドバ,"3,062,000",キシニョフ,"8,552",,モルドバ
ベナン,"12,997,000",ポルトノボ,"13,543",,ベナン
チェコ,"10,511,000",プラハ,"9,093",,チェコ
ボリビア,"12,079,000",ラパス,"16,536",,ボリビア
ホンジュラス,"10,278,000",テグシガルパ,"12,618",,ホンジュラス
セーシェル,"106,000",ビクトリア,"9,795",,セーシェル
コンゴ共和国,"5,836,000",ブラザビル,"13,367",,コンゴ共和国
ガボン,"2,341,000",リーブルビル,"13,507",,ガボン
トリニダード・トバゴ,"1,526,000",ポートオブスペイン,"14,412",,トリニダード・トバゴ
サントメ・プリンシペ,"223,000",サントメ,"13,732",,サントメ・プリンシペ
アンティグア・バーブーダ,"93,000",セントジョンズ,"13,733",,アンティグア・バーブーダ
ドミニカ国,"72,000",ロゾー,"13,939",,ドミニカ国
セントビンセント・グレナディーン,"104,000",キングスタウン,"14,166",,セントビンセント・グレナディーン
パレスチナ領域,"5,133,000",,,,パレスチナ領域
北マケドニア,"2,103,000",,,,北マケドニア
エスワティニ,"1,192,000",,,,エスワティニ
セントクリストファー・ネイビス,"48,000",,,,セントクリストファー・ネイビス
中国,"1,402,504,000",北京,"2,100",人民元,中国
台湾,"23,390,000",台北,"2,104",新台湾ドル,台湾
